ReqType, MatchTime,  MatchPri, OpenPri, HighPri, LowPri, TolMatchQty
1, 110005922000, 10705, 10713, 10749, 10682, 59454
1, 110005922000, 10705, 10713, 10749, 10682, 59454
1, 110005945000, 10706, 10713, 10749, 10682, 59455
1, 110005974000, 10705, 10713, 10749, 10682, 59456
1, 110005977000, 10705, 10713, 10749, 10682, 59458
1, 110006026000, 10705, 10713, 10749, 10682, 59460
1, 110006026000, 10705, 10713, 10749, 10682, 59460
1, 110006057000, 10706, 10713, 10749, 10682, 59463
1, 110006115000, 10706, 10713, 10749, 10682, 59465
1, 110006115000, 10706, 10713, 10749, 10682, 59465
1, 110006115000, 10706, 10713, 10749, 10682, 59465
1, 110006414000, 10707, 10713, 10749, 10682, 59466
1, 110006414000, 10707, 10713, 10749, 10682, 59466
1, 110006414000, 10707, 10713, 10749, 10682, 59466
1, 110006414000, 10707, 10713, 10749, 10682, 59466
1, 110006414000, 10707, 10713, 10749, 10682, 59466
1, 110006866000, 10707, 10713, 10749, 10682, 59467
1, 110006866000, 10707, 10713, 10749, 10682, 59467
1, 110006866000, 10707, 10713, 10749, 10682, 59467
1, 110006866000, 10707, 10713, 10749, 10682, 59467
1, 110006866000, 10707, 10713, 10749, 10682, 59467
1, 110006866000, 10707, 10713, 10749, 10682, 59467
1, 110006866000, 10707, 10713, 10749, 10682, 59467
1, 110006866000, 10707, 10713, 10749, 10682, 59467
1, 110006866000, 10707, 10713, 10749, 10682, 59467
1, 110006866000, 10707, 10713, 10749, 10682, 59467
1, 110006866000, 10707, 10713, 10749, 10682, 59467
1, 110008463000, 10706, 10713, 10749, 10682, 59468
1, 110008463000, 10706, 10713, 10749, 10682, 59468
1, 110008463000, 10706, 10713, 10749, 10682, 59468
1, 110008463000, 10706, 10713, 10749, 10682, 59468
1, 110008463000, 10706, 10713, 10749, 10682, 59468
1, 110008463000, 10706, 10713, 10749, 10682, 59468
1, 110008463000, 10706, 10713, 10749, 10682, 59468
1, 110008463000, 10706, 10713, 10749, 10682, 59468
1, 110008463000, 10706, 10713, 10749, 10682, 59468
1, 110008463000, 10706, 10713, 10749, 10682, 59468
1, 110008463000, 10706, 10713, 10749, 10682, 59468
1, 110008463000, 10706, 10713, 10749, 10682, 59468
1, 110008463000, 10706, 10713, 10749, 10682, 59468
1, 110008463000, 10706, 10713, 10749, 10682, 59468
1, 110008463000, 10706, 10713, 10749, 10682, 59468
1, 110011153000, 10706, 10713, 10749, 10682, 59469
1, 110011153000, 10706, 10713, 10749, 10682, 59469
1, 110011250000, 10706, 10713, 10749, 10682, 59470
1, 110011250000, 10706, 10713, 10749, 10682, 59470
1, 110011250000, 10706, 10713, 10749, 10682, 59470
1, 110011515000, 10706, 10713, 10749, 10682, 59471
1, 110011515000, 10706, 10713, 10749, 10682, 59471
1, 110011515000, 10706, 10713, 10749, 10682, 59471
1, 110011698000, 10706, 10713, 10749, 10682, 59472
1, 110011698000, 10706, 10713, 10749, 10682, 59472
1, 110011820000, 10706, 10713, 10749, 10682, 59474
1, 110011906000, 10706, 10713, 10749, 10682, 59475
1, 110011906000, 10706, 10713, 10749, 10682, 59475
1, 110011906000, 10706, 10713, 10749, 10682, 59475
1, 110012125000, 10706, 10713, 10749, 10682, 59476
1, 110012125000, 10706, 10713, 10749, 10682, 59476
1, 110012247000, 10706, 10713, 10749, 10682, 59478
1, 110012247000, 10706, 10713, 10749, 10682, 59478
1, 110012247000, 10706, 10713, 10749, 10682, 59478
1, 110012247000, 10706, 10713, 10749, 10682, 59478
1, 110012247000, 10706, 10713, 10749, 10682, 59478
1, 110012904000, 10706, 10713, 10749, 10682, 59479
1, 110012904000, 10706, 10713, 10749, 10682, 59479
1, 110012932000, 10706, 10713, 10749, 10682, 59481
1, 110012937000, 10706, 10713, 10749, 10682, 59482
1, 110012974000, 10706, 10713, 10749, 10682, 59484
1, 110013032000, 10706, 10713, 10749, 10682, 59485
1, 110013032000, 10706, 10713, 10749, 10682, 59485
1, 110013032000, 10706, 10713, 10749, 10682, 59485
1, 110013193000, 10706, 10713, 10749, 10682, 59488
1, 110013193000, 10706, 10713, 10749, 10682, 59488
1, 110013193000, 10706, 10713, 10749, 10682, 59488
1, 110013193000, 10706, 10713, 10749, 10682, 59488
1, 110013193000, 10706, 10713, 10749, 10682, 59488
1, 110013193000, 10706, 10713, 10749, 10682, 59488
1, 110013193000, 10706, 10713, 10749, 10682, 59488
1, 110013193000, 10706, 10713, 10749, 10682, 59488
1, 110013193000, 10706, 10713, 10749, 10682, 59488
1, 110013193000, 10706, 10713, 10749, 10682, 59488
1, 110014541000, 10705, 10713, 10749, 10682, 59490
1, 110014541000, 10705, 10713, 10749, 10682, 59490
1, 110014541000, 10705, 10713, 10749, 10682, 59490
1, 110014541000, 10705, 10713, 10749, 10682, 59490
1, 110014541000, 10705, 10713, 10749, 10682, 59490
1, 110014541000, 10705, 10713, 10749, 10682, 59490
1, 110014541000, 10705, 10713, 10749, 10682, 59490
1, 110014541000, 10705, 10713, 10749, 10682, 59490
1, 110014541000, 10705, 10713, 10749, 10682, 59490
1, 110015543000, 10705, 10713, 10749, 10682, 59491
1, 110015543000, 10705, 10713, 10749, 10682, 59491
1, 110015543000, 10705, 10713, 10749, 10682, 59491
1, 110015690000, 10706, 10713, 10749, 10682, 59492
1, 110015690000, 10706, 10713, 10749, 10682, 59492
1, 110015690000, 10706, 10713, 10749, 10682, 59492
